name,type,region,city,address,phone,latitude,longitude,rating,open_now,open_hours,distance_km,services
Vancouver General Hospital,Hospital,Vancouver Coastal Health,Vancouver,899 W 12th Ave,604-875-4111,49.2631,-123.1239,4.6,True,Open 24/7,2.1,"Emergency,Surgery,ICU,Specialists"
St. Paul's Hospital,Hospital,Vancouver Coastal Health,Vancouver,1081 Burrard St,604-682-2344,49.2839,-123.1289,4.5,True,Open 24/7,1.2,"Emergency,Surgery,ICU,Specialists"
Mount Saint Joseph Hospital,Hospital,Vancouver Coastal Health,Vancouver,3080 Prince Edward St,604-874-1141,49.2458,-123.0781,4.3,True,Open 24/7,3.8,"Emergency,Surgery,ICU,Specialists"
Gastown Medical Walk-In,Walk-In Clinic,Vancouver Coastal Health,Vancouver,27 Blood Alley Square,604-558-3988,49.2831,-123.1042,4.1,True,Mon-Fri 8am-8pm,1.2,"General Practice,Minor Injuries,Prescriptions"
Kitsilano Medical Walk-In,Walk-In Clinic,Vancouver Coastal Health,Vancouver,2826 W 4th Ave,604-738-5211,49.2683,-123.1657,4.3,True,Daily 9am-9pm,4.6,"General Practice,Minor Injuries,Prescriptions"
Broadway Medical Clinic,Walk-In Clinic,Vancouver Coastal Health,Vancouver,1234 W Broadway,778-330-4567,49.2634,-123.1432,4.2,False,Mon-Fri 8am-8pm,3.2,"General Practice,Minor Injuries,Prescriptions"
Vancouver City Urgent Care,Urgent Care,Vancouver Coastal Health,Vancouver,2025 W Broadway,604-742-1100,49.2634,-123.1569,4.5,True,Daily 8am-10pm,4.1,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
East Hastings Walk-In Clinic,Walk-In Clinic,Vancouver Coastal Health,Vancouver,2777 E Hastings St,604-255-3211,49.2809,-123.0353,4.0,False,Mon-Fri 8am-8pm,5.8,"General Practice,Minor Injuries,Prescriptions"
South Granville Medical Clinic,Walk-In Clinic,Vancouver Coastal Health,Vancouver,1737 W Broadway,604-736-4422,49.2628,-123.1485,4.2,True,Daily 9am-9pm,3.5,"General Practice,Minor Injuries,Prescriptions"
UBC Urgent Care Centre,Urgent Care,Vancouver Coastal Health,Vancouver,5765 Salish Rd,604-822-7011,49.2631,-123.2441,4.4,False,Daily 8am-10pm,7.8,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
Surrey Memorial Hospital,Hospital,Fraser Health,Surrey,13750 96 Ave,604-581-2211,49.1862,-122.8471,4.2,False,Open 24/7,28.3,"Emergency,Surgery,ICU,Specialists"
Guildford Walk-In Medical,Walk-In Clinic,Fraser Health,Surrey,15300 105 Ave,604-583-2200,49.1994,-122.8319,4.0,True,Daily 9am-9pm,27.1,"General Practice,Minor Injuries,Prescriptions"
